Category,Resume
Data Science,"Experienced Data Scientist with 5 years in machine learning, Python, TensorFlow, and deep learning. Proficient in pandas, numpy, scikit-learn, and data visualization with matplotlib and seaborn. Strong background in statistical analysis and predictive modeling."
Java Developer,"Senior Java Developer with expertise in Spring Boot, Hibernate, and microservices architecture. Skilled in REST API development, Maven, JUnit testing, and CI/CD pipelines. Experience with Docker and Kubernetes for containerization."
Web Designing,"Full Stack Web Developer specializing in HTML5, CSS3, JavaScript, React, and Node.js. Experience with responsive design, UI/UX principles, and modern web frameworks like Bootstrap and Tailwind CSS. Proficient in Git version control."
DevOps Engineer,"DevOps Engineer with strong Linux administration skills. Experienced in Docker, Kubernetes, Jenkins, Terraform, and AWS cloud services. Expertise in CI/CD pipeline automation, monitoring with Prometheus and Grafana."
Business Analyst,"Business Analyst with 7 years experience in requirements gathering, stakeholder management, and process improvement. Skilled in Agile methodology, JIRA, user story creation, and data analysis using SQL and Excel."
Python Developer,"Python Developer specializing in Django and Flask web frameworks. Experience with REST APIs, database design, SQLAlchemy ORM, and unit testing with pytest. Strong knowledge of Python best practices and clean code principles."
Testing,"QA Automation Engineer with expertise in Selenium, Cypress, and TestNG. Experienced in test automation frameworks, continuous testing, and API testing with Postman. Strong knowledge of manual testing and bug tracking with JIRA."
HR,"HR Manager with 10 years experience in recruitment, employee relations, performance management, and training development. Skilled in HRIS systems, payroll administration, and implementing HR policies and procedures."
Database,"Database Administrator with expertise in MySQL, PostgreSQL, MongoDB, and Oracle. Experienced in database design, query optimization, indexing strategies, backup and recovery, and performance tuning."
Sales,"Sales Executive with proven track record in B2B sales, client relationship management, and revenue growth. Experienced with CRM systems like Salesforce, lead generation, contract negotiation, and achieving sales targets."
